,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
965,Mundo Bita,12500000,16690788752,Music,Mundo Bita,253,Brazil,BR,Music,54,149,213700000,53400,854800,641100,10300000,100000,2011,Sep,29,51.3,212559417,12.08,183241641,-14.235004,-51.92528,168,168
966,Wave Music Bhakti,12500000,5146004207,Music,Wave Music Bhakti,19899,India,IN,Music,123,149,11079000,2800,44300,33200,531800,0,2011,Apr,19,28.1,1366417754,5.36,471031528,20.593684,78.96288,671,671
967,Troom Troom Indonesia,12500000,5379684248,People & Blogs,TROOM TROOM INDONESIA,8,Unknown,Unknown,People,Unknown,7712,1,0,0,0,0.05,0,2020,Jul,29,Unknown,Unknown,Unknown,Unknown,No Data,No Data,656,656
968,CKM,12500000,4465772496,Comedy,CKM,117,India,IN,Comedy,123,42,13142000,3300,52600,39400,630800,0,2018,Feb,20,28.1,1366417754,5.36,471031528,20.593684,78.96288,728,728
969,Quantum Tech HD,12500000,4340213066,Science & Technology,Mr_Mughall Gaming,223,Pakistan,PK,Unknown,3554,Unknown,8721,2,35,26,419,32,2022,Apr,23,9,216565318,4.45,79927762,30.375321,69.345116,741,741
970,_vector_,12400000,7597013023,Comedy,_vector_,398,United States,US,Comedy,176,43,903672000,225900,3600000,2700000,43400000,1200000,2019,Mar,24,88.2,328239523,14.7,270663028,37.09024,-95.712891,508,508
971,DEV Ke Facts,12400000,1971226335,Unknown,DEV Ke Facts,218,India,IN,Education,124,47,273670000,68400,1100000,821000,13100000,600000,2012,Sep,29,28.1,1366417754,5.36,471031528,20.593684,78.96288,915,915
972,Hero Movies 2023,12400000,1689090619,People & Blogs,Hero Movies 2023,689,Unknown,Unknown,People,Unknown,63,21837000,5500,87300,65500,1000000,0,2017,Feb,22,Unknown,Unknown,Unknown,Unknown,No Data,No Data,936,936
973,LOUD,12400000,2394143260,Gaming,WatchLOUD,690,United States,US,Entertainment,1795,1759,27596,7,110,83,1300,0,2006,Jan,4,88.2,328239523,14.7,270663028,37.09024,-95.712891,883,883
974,Gibby :),12400000,2862685032,People & Blogs,Gibby :),226,Mexico,MX,People,34,63,10278000,2600,41100,30800,493300,0,2014,Aug,30,40.2,126014024,3.42,102626859,23.634501,-102.552784,848,848
975,Gustavo Parï¿½ï¿½,12400000,2602614088,Comedy,GustavoParodias,9,Brazil,BR,Comedy,5075,4894,0,0,0,0,0,0,2010,Aug,24,51.3,212559417,12.08,183241641,-14.235004,-51.92528,870,870
976,SAAIHALILINTAR,12400000,1113066203,Entertainment,SAAIHALILINTAR,409,Indonesia,ID,Entertainment,34,172,806075,202,3200,2400,38700,0,2012,Apr,28,36.3,270203917,4.69,151509724,-0.789275,113.921327,965,965
977,Timba Vk,12400000,2840137980,Gaming,Timba Vk,1024,Spain,ES,Games,19,68,24022000,6000,96100,72100,1200000,100000,2012,Jun,16,88.9,47076781,13.96,37927409,40.463667,-3.74922,852,852
978,Heidi and Zidane HZHtube,12400000,4021409291,Entertainment,Heidi and Zidane HZHtube,813,Canada,CA,Entertainment,14,172,9595000,2400,38400,28800,460600,0,2015,Nov,24,68.9,36991981,5.56,30628482,56.130366,-106.346771,768,768
979,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12400000,6933660906,Gaming,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12419,Spain,ES,Games,19,68,82648000,20700,330600,247900,4000000,100000,2012,Oct,29,88.9,47076781,13.96,37927409,40.463667,-3.74922,557,557
980,Zee Kids,12400000,7683670251,Film & Animation,Zee Kids,1212,India,IN,Entertainment,124,172,95163000,23800,380700,285500,4600000,100000,2012,Jul,6,28.1,1366417754,5.36,471031528,20.593684,78.96288,503,503
981,Pari's Lifestyle,12400000,7741764747,People & Blogs,Pari's Lifestyle,459,India,IN,People,124,63,38165000,9500,152700,114500,1800000,0,2018,Nov,26,28.1,1366417754,5.36,471031528,20.593684,78.96288,499,499
982,DisneyChannelUK,12400000,12607488647,Music,DisneyChannelUK,4422,United Kingdom,GB,Entertainment,34,172,34758000,8700,139000,104300,1700000,0,2007,Dec,6,60,66834405,3.85,55908316,55.378051,-3.435973,281,281
983,MoniLina,12400000,16086808918,Comedy,MoniLinaFamily,0,United States,US,People,2774,2499,0,0,0,0,0,100,2016,May,10,88.2,328239523,14.7,270663028,37.09024,-95.712891,184,184
984,bharatzkitchen HINDI,12400000,2315226648,Howto & Style,bharatzkitchen HINDI,729,India,IN,Howto,124,38,30968000,7700,123900,92900,1500000,100000,2016,Aug,10,28.1,1366417754,5.36,471031528,20.593684,78.96288,888,888
985,TKOR,12400000,3392022527,Education,TKoR,0,Unknown,Unknown,People,Unknown,7741,0,0,0,0,0,0,2006,Aug,16,Unknown,Unknown,Unknown,Unknown,No Data,No Data,812,812
986,ANNA KOVA,12400000,13959586308,People & Blogs,annakova,1,Unknown,Unknown,Film,Unknown,5307,2,0,0.01,0.01,0.1,0,2006,Jun,18,Unknown,Unknown,Unknown,Unknown,No Data,No Data,239,239
